"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Connecticut","09","2003","2003",42,3484336,1.2,1.2
,"Connecticut","09","2004","2004",71,3496094,2.0,2.0
,"Connecticut","09","2005","2005",60,3506956,1.7,1.7
,"Connecticut","09","2006","2006",94,3517460,2.7,2.6
,"Connecticut","09","2007","2007",87,3527270,2.5,2.5
,"Connecticut","09","2008","2008",84,3545579,2.4,2.3
,"Connecticut","09","2009","2009",72,3561807,2.0,2.0
,"Connecticut","09","2010","2010",82,3574097,2.3,2.2
,"Connecticut","09","2011","2011",75,3580709,2.1,2.0
,"Connecticut","09","2012","2012",60,3590347,1.7,1.6
,"Connecticut","09","2013","2013",182,3596080,5.1,4.9
,"Connecticut","09","2014","2014",195,3596677,5.4,5.4
,"Connecticut","09","2015","2015",243,3590886,6.8,6.3
,"Connecticut","09","2016","2016",264,3576452,7.4,7.2
,"Connecticut","09","2017","2017",273,3588184,7.6,7.7
,"Connecticut","09","2018","2018",231,3572665,6.5,6.4
,"Connecticut","09","2019","2019",283,3565287,7.9,7.8
,"Connecticut","09","2020","2020",311,3557006,8.7,8.5
,"Delaware","10","2001","2001",14,795699,Unreliable,Unreliable
,"Delaware","10","2002","2002",25,806169,3.1,3.1
,"Delaware","10","2003","2003",24,818003,2.9,2.9
,"Delaware","10","2004","2004",20,830803,2.4,2.4
,"Delaware","10","2005","2005",18,845150,Unreliable,Unreliable
,"Delaware","10","2006","2006",21,859268,2.4,2.6
,"Delaware","10","2007","2007",30,871749,3.4,3.4
,"Delaware","10","2008","2008",45,883874,5.1,5.2
,"Delaware","10","2009","2009",58,891730,6.5,6.6
,"Delaware","10","2010","2010",64,897934,7.1,7.4
,"Delaware","10","2011","2011",79,907135,8.7,8.7
,"Delaware","10","2012","2012",45,917092,4.9,4.9
,"Delaware","10","2013","2013",52,925749,5.6,5.9
,"Delaware","10","2014","2014",59,935614,6.3,6.6
,"Delaware","10","2015","2015",48,945934,5.1,5.2
,"Delaware","10","2016","2016",41,952065,4.3,4.4
,"Delaware","10","2017","2017",78,961939,8.1,8.7
,"Delaware","10","2018","2018",82,967171,8.5,8.9
,"Delaware","10","2019","2019",75,973764,7.7,8.2
,"Delaware","10","2020","2020",82,986809,8.3,8.4
,"District of Columbia","11","2003","2003",14,568502,Unreliable,Unreliable
,"District of Columbia","11","2004","2004",24,567754,4.2,4.2
,"District of Columbia","11","2005","2005",16,567136,Unreliable,Unreliable
,"District of Columbia","11","2006","2006",24,570681,4.2,4.3
,"District of Columbia","11","2007","2007",10,574404,Unreliable,Unreliable
,"District of Columbia","11","2008","2008",17,580236,Unreliable,Unreliable
,"District of Columbia","11","2010","2010",13,601723,Unreliable,Unreliable
,"District of Columbia","11","2011","2011",22,617996,3.6,3.3
,"District of Columbia","11","2012","2012",18,632323,Unreliable,Unreliable
,"District of Columbia","11","2013","2013",17,646449,Unreliable,Unreliable
,"District of Columbia","11","2014","2014",23,658893,3.5,3.5
,"District of Columbia","11","2015","2015",26,672228,3.9,3.7
,"District of Columbia","11","2016","2016",66,681170,9.7,9.3
,"District of Columbia","11","2017","2017",58,693972,8.4,8.4
,"District of Columbia","11","2018","2018",41,702455,5.8,5.7
,"District of Columbia","11","2019","2019",36,705749,5.1,4.9
,"District of Columbia","11","2020","2020",65,712816,9.1,8.7
,"Florida","12","1999","1999",190,15759421,1.2,1.2
,"Florida","12","2000","2000",280,15982378,1.8,1.8
,"Florida","12","2001","2001",545,16356966,3.3,3.4
